"elem_id","elem_codigo","elem_descripcion","elpr_precio"
1021,"023361","TAPA HOSPITALARIA NARANJA",NULL
1022,"023362","PULSADOR TIMBRE",NULL
1023,"023363","ALAMBRE GALV. NO.12",NULL
1024,"023364","MANGUERA NEVIDEÑA LEDS",NULL
1025,"023365","SILICONA EN BARRA DELGADA",NULL
223,"023366","GRAPA GALV. DE 1",NULL
228,"023367","GRAPA RETENCION CABLE TRENZADO",NULL
229,"023368","GRAPA SUSPENSION CABLE TRENZADO",NULL
1026,"023369","CAPUCHON TYCO",NULL
1027,"023370","PERNO DE OJO 5/8*10 CERRADO",NULL
1028,"023371","MANGUERA CONDUFLEX DE 3/4",NULL
1029,"023372","POSTE MET. DE 4*9.20 MTS CON CRUCETA",NULL
1030,"023373","PERNO DE OJO 5/8*8 ABIERTO",NULL
1031,"023374","PLACAS EN ACRILICO 6*12 CMS",NULL
1032,"023375","HIDROSOLTA",NULL
1033,"023376","CARCAZA LUMINARIA DJK E27",NULL
375,"023377","VIDRIO TEMPLADO VENECIA",NULL
1034,"023378","PIE TABLE 25 CMS 2*3 MTS",NULL
1035,"023379","POSTE GALV. 6X2.40+4X4.60+2X1.0 X 8 MTS DOBLE PROPOSITO",NULL
1036,"023380","TUERCA Y CONTRATUERCA PARA 2",NULL
320,"023381","SIKA EMULSION ASFALTICA 3.5 KG",NULL
292,"023382","PLACAS DE IDENTIFICACION POSTES",NULL
213,"023383","ESPUMA SIKA BOOM 500 CC",NULL
1037,"023384","BLOQUEADOR SOLAR SPF 100 X 150 ML",NULL
326,"023385","SOLDADURA WEST 1/8",NULL
1038,"023386","PARRILLA + MARCO 0.78X0.77 CMS PLATINA 2*3/16  VAR. 9 MM",NULL
1039,"023387","PARRILLA  + MARCO 0.66X0.76 CM PLATINA 2X3/16  VAR 9 MM",NULL
1040,"023388","PARRILLA + MARCO 0.66X0.60 CM PLATINA 2X3/16 VAR 9MM",NULL
305,"023389","POSTE MET. GALV. 8 MTS  DE 6X2 M+4X2 M+2X4 M DO",NULL
298,"023390","POSTE 3 SECCIONES EMBONADAS ACERO 8M*510 ",NULL
1041,"023391","POSTE GALV. 6X3+4X4+3X3 MT + CRUCETA DE 1.50 M",NULL
302,"023392","POSTE GALV. DE 8 MTS 6X2+4X2 BRAZO SENCILLO DE 2",NULL
1042,"023778","SIKA ESTUKA ACRILICA",NULL
1043,"023779","PUNTILLA ACERO 2.1/2",NULL
1044,"023780","FLEXOMETRO LUFKIN 5 MTS",NULL
1045,"023781","CHAZO MET. EXPANSION 1/2*4",NULL
1046,"023782","TOMA AEREA BIFASICA 20 AMP P/TRABADA",NULL
1047,"023783","TAPA DOBLE CREMA",NULL
1048,"023784","TOMA TRIFASICA DE 20 AMP LEVINTON",NULL
128,"023785","CAJA RECTANGULAR PVC",NULL
122,"023786","CAJA CUADRADA PVC",NULL
329,"023787","TAPA CUADRADA PVC",NULL
1049,"023788","TOMA CODELCA BIFASICA DE 20 AMP",NULL
1050,"023789","POSTE CONCRETO 16*750 KG",NULL
1051,"023790","POSTE GALV. DE 3*5.80 MTS /5.49 MM",NULL
1052,"023791","SIKA 3*5 KG",NULL
1053,"023792","SIKA 1*4 KG",NULL
1054,"023793","PUNTILLA PUMA 5 * 1000 GR",NULL
331,"023794","TAPA RECTANGULAR PVC",NULL
1055,"023795","TAPA METALICA INTEMPERIE 15*15 CMS",NULL
1056,"023796","POSTE MET. DE 2*4.60 MTS",NULL
1057,"023797","HUESO DURO 1/4",NULL
1058,"023798","SINTISOLDA",NULL
368,"023799","UNION EMT DE 1",NULL
1059,"023800","POSTE GALV. DE 3*6 MTS",NULL
293,"023801","PLAFON AVE",NULL
1060,"023802","SILICONA W3",NULL
1061,"023803","SILICONA ULTRABRILLO",NULL
1062,"023804","TRANSFORMADOR TRIFASICO 30KVA/13.2/220",NULL
1063,"023805","TUBO FLOURESCENTE SILVANIA 48W",NULL
1064,"023806","CHASIS LAMPARA DOBLE 48W",NULL
174,"023807","CONDULINEA EMT EN T DE 3/4",NULL
1065,"023808","ENTRADA EMT  DE 3/4",NULL
1066,"023809","VIDRIO TEMPLADO 48*40 CMS",NULL
1067,"023810","MARCO DE 70X70 CMS PLATINA 1.1/2*1/8",NULL
1068,"023811","GORRO REFLECTOR A-1500",NULL
1069,"023812","BOMBA MUNDO B35",NULL
1070,"023813","SUPLEMENTO PVC",NULL
209,"023814","EMPALME DE DERIVACION EN GEL B.T GHFC-1",46944.00
1071,"023815","POSTE GALV. 4 3 2 CAL.116 DOBLE BRAZO",NULL
1072,"023816","VARILLA  COOPERWELD 5/8*1.50 MT",NULL
1073,"023817","POSTE GALV. 4 3 2 C.116 BRAZO SENCILLO",NULL
363,"023818","TUBO ROSCA DE 1/2*3",NULL
364,"023819","TUERCAS DE 1/2",NULL
1074,"023820","LUBRICANTE 172 ML",NULL
1075,"023821","CARCASA SANTANA E27",NULL
1076,"023822","THINNER ACRILICO 750 CC",NULL
1077,"023823","BOMBA SUMERGIBLE HQB 3500 3.5 MTS",NULL
17,"023824","PUNTILLA 2*500 GRS",NULL
304,"023825","POSTE MET. 12 MTS 6 4 3 BRAZO SENCILLO",NULL
303,"023826","POSTE MET 12 MTS 6 4 3 BRAZO DOBLE",NULL
1078,"023827","POSTE GALV. DOBLE PROPOSITO 4 3 + FLANCHE",NULL
